"kode_titik","kode","kode_provinsi","kabupaten_kota","singkatan","created_at","updated_at"
"11.01","1101","11","KAB. ACEH SELATAN","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.02","1102","11","KAB. ACEH TENGGARA","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.03","1103","11","KAB. ACEH TIMUR","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.04","1104","11","KAB. ACEH TENGAH","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.05","1105","11","KAB. ACEH BARAT","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.06","1106","11","KAB. ACEH BESAR","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.07","1107","11","KAB. PIDIE","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.08","1108","11","KAB. ACEH UTARA","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.09","1109","11","KAB. SIMEULUE","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.10","1110","11","KAB. ACEH SINGKIL","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.11","1111","11","KAB. BIREUEN","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.12","1112","11","KAB. ACEH BARAT DAYA","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.13","1113","11","KAB. GAYO LUES","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.14","1114","11","KAB. ACEH JAYA","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.15","1115","11","KAB. NAGAN RAYA","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.16","1116","11","KAB. ACEH TAMIANG","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.17","1117","11","KAB. BENER MERIAH","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.18","1118","11","KAB. PIDIE JAYA","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.71","1171","11","KOTA BANDA ACEH","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.72","1172","11","KOTA SABANG","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.73","1173","11","KOTA LHOKSEUMAWE","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
"11.74","1174","11","KOTA LANGSA","","2024-03-02 20:05:02.087034+07","2024-03-02 20:05:02.087034+07"
