"kode_titik","kode","kode_kabupaten","kecamatan","created_at","updated_at"
"11.01.01","110101 ","11.01","Bakongan","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.02","110102 ","11.01","Kluet Utara","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.03","110103 ","11.01","Kluet Selatan","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.04","110104 ","11.01","Labuhan Haji","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.05","110105 ","11.01","Meukek","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.06","110106 ","11.01","Samadua","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.07","110107 ","11.01","Sawang","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.08","110108 ","11.01","Tapaktuan","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.09","110109 ","11.01","Trumon","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.10","110110 ","11.01","Pasi Raja","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.11","110111 ","11.01","Labuhan Haji Timur","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.12","110112 ","11.01","Labuhan Haji Barat","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.13","110113 ","11.01","Kluet Tengah","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.14","110114 ","11.01","Kluet Timur","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.15","110115 ","11.01","Bakongan Timur","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.16","110116 ","11.01","Trumon Timur","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.17","110117 ","11.01","Kota Bahagia","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.01.18","110118 ","11.01","Trumon Tengah","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.01","110201 ","11.02","Lawe Alas","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.02","110202 ","11.02","Lawe Sigala-Gala","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.03","110203 ","11.02","Bambel","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.04","110204 ","11.02","Babussalam","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.05","110205 ","11.02","Badar","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.06","110206 ","11.02","Babul Makmur","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.07","110207 ","11.02","Darul Hasanah","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.08","110208 ","11.02","Lawe Bulan","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.09","110209 ","11.02","Bukit Tusam","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.10","110210 ","11.02","Semadam","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.11","110211 ","11.02","Babul Rahmah","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.12","110212 ","11.02","Ketambe","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.13","110213 ","11.02","Deleng Pokhkisen","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.14","110214 ","11.02","Lawe Sumur","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.15","110215 ","11.02","Tanoh Alas","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.02.16","110216 ","11.02","Leuser","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.01","110301 ","11.03","Darul Aman","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.02","110302 ","11.03","Julok","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.03","110303 ","11.03","Idi Rayeuk","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.04","110304 ","11.03","Birem Bayeun","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.05","110305 ","11.03","Serbajadi","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.06","110306 ","11.03","Nurussalam","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.07","110307 ","11.03","Peureulak","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.08","110308 ","11.03","Rantau Selamat","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.09","110309 ","11.03","Simpang Ulim","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.10","110310 ","11.03","Rantau Peureulak","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.11","110311 ","11.03","Pante Bidari","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.12","110312 ","11.03","Madat","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.13","110313 ","11.03","Indra Makmu","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.14","110314 ","11.03","Idi Tunong","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.15","110315 ","11.03","Banda Alam","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.16","110316 ","11.03","Peudawa","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
"11.03.17","110317 ","11.03","Peureulak Timur","2024-03-02 20:05:33.162788+07","2024-03-02 20:05:33.162788+07"
