"kode_titik","kode","kode_kecamatan","kelurahan","created_at","updated_at"
"11.01.01.2001","1101012001","11.01.01","Keude Bakongan","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.01.2002","1101012002","11.01.01","Ujong Mangki","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.01.2003","1101012003","11.01.01","Ujong Padang","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.01.2004","1101012004","11.01.01","Gampong Drien","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.01.2015","1101012015","11.01.01","Darul Ikhsan","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.01.2016","1101012016","11.01.01","Padang Beurahan","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.01.2017","1101012017","11.01.01","Gampong Baro","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2001","1101022001","11.01.02","Fajar Harapan","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2002","1101022002","11.01.02","Krueng Batee","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2003","1101022003","11.01.02","Pasi Kuala Asahan","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2004","1101022004","11.01.02","Gunung Pulo","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2005","1101022005","11.01.02","Pulo Ie I","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2006","1101022006","11.01.02","Jambo Manyang","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2007","1101022007","11.01.02","Simpang Empat","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2008","1101022008","11.01.02","Limau Purut","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2009","1101022009","11.01.02","Pulo Kambing","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2010","1101022010","11.01.02","Kampung Paya","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2011","1101022011","11.01.02","Krueng Batu","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2012","1101022012","11.01.02","Krueng Kluet","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2013","1101022013","11.01.02","Alur Mas","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2014","1101022014","11.01.02","Kampung Tinggi","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2015","1101022015","11.01.02","Ruak","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2016","1101022016","11.01.02","Simpang Lhee","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2017","1101022017","11.01.02","Suaq Geuringgeng","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2018","1101022018","11.01.02","Pasi Kuala Ba'u","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2019","1101022019","11.01.02","Kedai Padang","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2020","1101022020","11.01.02","Kotafajar","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.02.2021","1101022021","11.01.02","Gunung Pudung","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.03.2001","1101032001","11.01.03","Suaq Bakung","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.03.2002","1101032002","11.01.03","Rantau Binuang","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
"11.01.03.2003","1101032003","11.01.03","Barat Daya","2024-03-02 20:06:02.214143+07","2024-03-02 20:06:02.214143+07"
