"kode","provinsi","singkatan","created_at","updated_at"
"11","ACEH",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"12","SUMATERA UTARA",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"13","SUMATERA BARAT",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"14","RIAU",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"15","JAMBI",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"16","SUMATERA SELATAN",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"17","BENGKULU",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"18","LAMPUNG",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"19","KEPULAUAN BANGKA BELITUNG",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"21","KEPULAUAN RIAU",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"31","DKI JAKARTA",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"32","JAWA BARAT",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"33","JAWA TENGAH",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"34","DAERAH ISTIMEWA YOGYAKARTA",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"35","JAWA TIMUR",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"36","BANTEN",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"51","BALI",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"52","NUSA TENGGARA BARAT",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"53","NUSA TENGGARA TIMUR",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"61","KALIMANTAN BARAT",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"62","KALIMANTAN TENGAH",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"63","KALIMANTAN SELATAN",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"64","KALIMANTAN TIMUR",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"65","KALIMANTAN UTARA",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"71","SULAWESI UTARA",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"72","SULAWESI TENGAH",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"73","SULAWESI SELATAN",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"74","SULAWESI TENGGARA",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"75","GORONTALO",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"76","SULAWESI BARAT",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"81","MALUKU",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"82","MALUKU UTARA",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"91","PAPUA",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"92","PAPUA BARAT",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"93","PAPUA SELATAN",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"94","PAPUA TENGAH",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
"95","PAPUA PEGUNUNGAN",NULL,"2024-03-02 20:04:03.28932+07","2024-03-02 20:04:03.28932+07"
